"","Entity","CUI","Freq","Tid","Tname"
"3","intellectual disability","C3714756",293,"T048","Mental or Behavioral Dysfunction"
"15","social anxiety","C0424166",155,"T048","Mental or Behavioral Dysfunction"
"19","repetitive behaviors","C1827547",133,"T033","Finding"
"24","intellectual disabilities","C3714756",112,"T048","Mental or Behavioral Dysfunction"
"26","anxiety disorders","C0003469",103,"T048","Mental or Behavioral Dysfunction"
"28","pervasive developmental disorder","C0524528",100,"T048","Mental or Behavioral Dysfunction"
"29","fragile x syndrome","C0016667",100,"T047","Disease or Syndrome"
"30","rett syndrome","C0035372",98,"T047","Disease or Syndrome"
"31","mitochondrial dysfunction","C4021734",98,"T033","Finding"
"33","asperger’s syndrome","C0236792",97,"T048","Mental or Behavioral Dysfunction"
"35","depressive symptoms","C0086132",93,"T184","Sign or Symptom"
"38","anxiety symptoms","C0860603",84,"T184","Sign or Symptom"
"49","sleep problems","C0851578",72,"T048","Mental or Behavioral Dysfunction"
"50","communication difficulties","C0566003",72,"T033","Finding"
"57","repetitive behavior","C1827547",67,"T033","Finding"
"59","anxiety disorder","C0003469",67,"T048","Mental or Behavioral Dysfunction"
"60","developmental delay","C0424605",66,"T048","Mental or Behavioral Dysfunction"
"66","emotional problems","C0677660",58,"T048","Mental or Behavioral Dysfunction"
"67","behavioral problems","C0233514",57,"T048","Mental or Behavioral Dysfunction"
"70","developmental disabilities","C0008073",56,"T048","Mental or Behavioral Dysfunction"
"72","developmental disorders","C0008073",56,"T048","Mental or Behavioral Dysfunction"
"79","genetic factors","C0814299",52,"T033","Finding"
"80","asperger’s disorder","C0236792",52,"T048","Mental or Behavioral Dysfunction"
"83","asdautism spectrum disorder","C0027873",51,"T047","Disease or Syndrome"
"90","social impairment","C1998998",49,"T033","Finding"
"91","mood disorders","C0525045",49,"T048","Mental or Behavioral Dysfunction"
"98","cognitive deficits","C0009241",45,"T048","Mental or Behavioral Dysfunction"
"107","social difficulties","C4015169",42,"T033","Finding"
"109","gi symptoms","C0426576",42,"T184","Sign or Symptom"
"112","substance use-related problems","C0848950",40,"T048","Mental or Behavioral Dysfunction"
"113","mental retardation","C0025362",40,"T048","Mental or Behavioral Dysfunction"
"116","angelman syndrome","C0162635",39,"T047","Disease or Syndrome"
"124","social problems","C0037431",37,"T033","Finding"
"125","mental illness","C0004936",37,"T048","Mental or Behavioral Dysfunction"
"128","major depressive disorder","C0154409",36,"T048","Mental or Behavioral Dysfunction"
"129","weight gain","C0043094",36,"T033","Finding"
"131","communication disorders","C0009460",36,"T048","Mental or Behavioral Dysfunction"
"132","genetic disorders","C0019247",35,"T047","Disease or Syndrome"
"133","maternal infection","C0239997",35,"T033","Finding"
"134","restricted interests","C2675334",35,"T033","Finding"
"139","cognitive impairment","C0338656",33,"T048","Mental or Behavioral Dysfunction"
"144","comorbid adhd","C1263846",33,"T048","Mental or Behavioral Dysfunction"
"146","emotional symptoms","C0085633",33,"T048","Mental or Behavioral Dysfunction"
"147","adhd traits","C1263846",32,"T048","Mental or Behavioral Dysfunction"
"148","cognitive impairments","C0338656",32,"T048","Mental or Behavioral Dysfunction"
"150","language impairment","C0023015",32,"T048","Mental or Behavioral Dysfunction"
"151","alzheimer’s disease","C0002395",32,"T047","Disease or Syndrome"
"158","major depression","C1269683",31,"T048","Mental or Behavioral Dysfunction"
"163","psychological distress","C0815107",31,"T048","Mental or Behavioral Dysfunction"
"164","pervasive developmental disorders","C0524528",31,"T048","Mental or Behavioral Dysfunction"
"166","neurological disorders","C0027765",30,"T047","Disease or Syndrome"
"168","pragmatic impairments","C0454622",30,"T048","Mental or Behavioral Dysfunction"
"170","behavioral symptoms","C0004941",30,"T184","Sign or Symptom"
"171","psychiatric illness","C0004936",30,"T048","Mental or Behavioral Dysfunction"
"172","adhd diagnosis","C2945552",30,"T048","Mental or Behavioral Dysfunction"
"175","facial expressions","C0015457",29,"T033","Finding"
"176","genetic variants","C1953337",29,"T033","Finding"
"177","restricted and repetitive behaviors","C1827547",29,"T033","Finding"
"182","psychiatric diseases","C0004936",29,"T048","Mental or Behavioral Dysfunction"
"183","learning disability","C0751265",29,"T048","Mental or Behavioral Dysfunction"
"196","psychotic symptoms","C0871189",28,"T184","Sign or Symptom"
"197","stereotyped behaviors","C0038271",28,"T055","Individual Behavior"
"199","psychiatric symptoms","C0233401",27,"T184","Sign or Symptom"
"200","cerebral palsy","C0007789",27,"T047","Disease or Syndrome"
"204","white et","C0023652",27,"T047","Disease or Syndrome"
"205","stereotyped behavior","C0038271",27,"T055","Individual Behavior"
"210","social communication difficulties","C2189304",26,"T033","Finding"
"215","developmental delays","C0424605",26,"T048","Mental or Behavioral Dysfunction"
"217","mitochondrial disease","C0751651",26,"T047","Disease or Syndrome"
"218","savant syndrome","C2316458",26,"T048","Mental or Behavioral Dysfunction"
"220","suicidal behavior","C1760428",26,"T033","Finding"
"221","adhd d","C1263846",26,"T048","Mental or Behavioral Dysfunction"
"223","nr usvs","C3844738",26,"T033","Finding"
"226","sleep disorders","C0851578",25,"T048","Mental or Behavioral Dysfunction"
"231","maternal diabetes","C0085207",25,"T047","Disease or Syndrome"
"239","suicidal ideation","C0424000",24,"T033","Finding"
"241","clinical symptoms","C3483785",24,"T033","Finding"
"246","maternal obesity","C0746977",24,"T033","Finding"
"249","averted gaze","C0553544",23,"T033","Finding"
"251","adhd-related traits","C1263846",23,"T048","Mental or Behavioral Dysfunction"
"252","attention deficit hyperactivity disorder (adhd","C1263846",23,"T048","Mental or Behavioral Dysfunction"
