,CUI,Entity,count,num_papers
0,C1510586,ASD,29452,461
1,C0004352,autism,7195,459
2,C0004352,autistic,4520,308
3,C0004352,Autism,1988,408
4,C1510586,autism spectrum disorder,597,260
5,C0175842,autistic children,521,74
6,C0004352,Autistic,364,100
7,C1510586,ASDs,362,59
8,C0746940,nonverbal,326,101
9,0,non-verbal,297,114
10,C2584305,imitation,287,48
11,C1510586,autism spectrum disorders,243,111
12,C1510586,Autism Spectrum Disorder,201,111
13,C0871226,reciprocity,168,62
14,C1510586,Autism spectrum disorder,151,132
15,C0236792,Asperger syndrome,127,62
16,C0004352,autistic disorder,126,75
17,C0004352,Autistic disorder,111,16
18,C1510586,Autism Spectrum Disorders,82,58
19,C0746940,Nonverbal,64,32
20,C1846135,autistic features,54,28
21,0,Non-verbal,53,18
22,C1510586,Autism spectrum disorders,51,50
23,C01508020,verbal communication,49,25
24,C2675043,social withdrawal,48,29
25,C0236792,Asperger's,47,20
26,C0236792,Asperger Syndrome,47,25
27,C0871226,Reciprocity,45,7
28,C0023012,language delay,40,23
29,C0004352,Autistic Disorder,40,22
30,C2114104,trains,39,16
31,C0338986,atypical autism,27,26
32,C1837653,insistence on sameness,25,17
33,C0175842,Autistic children,24,12
34,C0856975,autistic behaviour,23,9
35,C1510586,ASDS,22,4
36,C2584305,Imitation,21,13
37,C0005899,rocking,21,12
38,C0562462,spinning,19,12
39,C0424247,hand flapping,18,5
40,C0150080,impaired social interaction,18,14
41,C0241210,speech delay,18,8
42,C1839793,autistic-like behavior,15,7
43,C0871226,self-directed,14,4
44,C0013528,echolalia,14,8
45,C01508020,Verbal communication,12,6
46,C0150080,impaired social interactions,12,10
47,C2584305,copying,12,6
48,C1853236,hand movements,11,8
49,C0085271,self-injurious behavior,10,9
50,C0023012,language delays,9,8
51,C0150080,socially isolated,8,5
52,C0392185,repetitive speech,8,3
53,C0349331,other pervasive developmental disorders,7,5
54,0,Non-Verbal,7,5
55,C0023012,Language delay,7,4
56,C2675043,Social Withdrawal,7,4
57,C1445953,no eye contact,7,3
58,C0005899,body rocking,7,2
59,C0338986,Atypical autism,6,4
60,C0475222,ritualistic behaviour,6,2
61,C0004352,AUTISM,6,3
62,C0236792,Aspergers,6,6
63,C0023012,delayed language,6,6
64,C1853236,stereotypic movements,5,3
65,C1837653,Insistence on Sameness,5,4
66,C1837653,Insistence on sameness,5,4
67,C1839793,Autistic-like behavior,5,1
68,C1510586,Autism Spectrum disorder,5,3
69,C0524528,pervasive development disorder,5,4
70,C0241210,delayed speech,5,4
71,C0004352,aUtIsm,4,1
72,0,lack of expressive language,4,1
73,C2372078,initiating social interactions,4,3
74,C1445953,poor eye contact,4,4
75,C1853236,stereotypical movements,4,2
76,C0241210,Speech delay,4,2
77,C0150080,no friends,3,2
78,C0150080,social communication disorder,3,3
79,C01508020,verbal Communication,3,1
80,C0175842,Autistic Children,3,2
81,C0234241,indifference to pain,3,3
82,C0023012,Language Delays,3,1
83,C0013528,Echolalia,3,1
84,C1287531,interest in peers,3,3
85,C2675335,"stereotyped, repetitive behavior",2,1
86,C1853236,hand clapping,2,2
87,C1510586,AUTISM SPECTRUM DISORDERS,2,2
88,C1853236,hopping,2,2
89,C1839793,Autistic-Like Behavior,2,2
90,C2675043,difficulty with social interaction,2,2
91,C1510586,asd,2,2
92,C1707798,disassembly,2,2
93,C2674583,unusual noises,2,1
94,C2584305,IMITATION,2,1
95,C2675043,decreased social interactions,2,2
96,C2749029,autistic-like features,2,2
97,C0338986,Atypical Autism,2,2
98,C0085271,Self-injurious behavior,2,1
99,C0236792,aspergers,2,1
100,C0349331,Other pervasive developmental disorders,2,2
101,C0150080,Impaired social interactions,2,2
102,C0475222,ritualistic behavior,2,2
103,C0524528,Pervasive Development Disorder,2,2
104,C0241210,limited speech,2,2
105,C0008074,"child development disorders, pervasive",2,1
106,C0013528,delayed echolalia,1,1
107,C2372078,Initiating social interactions,1,1
108,0,use of jargon,1,1
109,C1864999,Delayed speech and language,1,1
110,C1864999,delayed speech and language,1,1
111,C2675335,"Stereotyped, repetitive behavior",1,1
112,C1864999,speech and language delay,1,1
113,C2114104,Trains,1,1
114,C2114104,lining up objects,1,1
115,C0150080,Social Communication Disorder,1,1
116,C2114105,preoccupation with parts of objects,1,1
117,C2170460,head banging,1,1
118,C0008074,"Child development disorders, pervasive",1,1
119,C2675043,Social withdrawal,1,1
120,C2675043,social disconnectedness,1,1
121,C2372113,parallel play,1,1
122,C2675043,limited social interaction,1,1
123,C0241210,speech delays,1,1
124,C0085271,self-abusive behavior,1,1
125,C0031873,pica,1,1
126,C2584305,imitative play,1,1
127,C2673260,limited expressive language,1,1
128,C0031873,Pica,1,1
129,C0023012,language delayed,1,1
130,C0085271,self-destructive behavior,1,1
131,C1445953,makes little eye contact,1,1
132,C1853236,hand waving,1,1
133,C1445953,makes very little eye contact,1,1
134,C1445953,moderate eye contact,1,1
135,C1445953,no Eye contact,1,1
136,C1445953,limited eye contact,1,1
137,C1445953,lack of eye contact,1,1
138,C1445953,Poor eye contact,1,1
139,C1445953,No eye contact,1,1
140,C1445953,No Eye Contact,1,1
141,C1445953,Decreased eye contact,1,1
142,C0871226,Self-directed,1,1
143,C0856975,Autistic behaviour,1,1
144,C0813217,expressionless face,1,1
145,C0746940,No words,1,1
146,C0581878,limited vocabulary,1,1
147,C0562458,pacing,1,1
148,C0562458,Pacing,1,1
149,C0524528,Pervasive development disorder,1,1
150,C1822049,interaction with people,1,1
151,C0424268,lining up toys,1,1
152,C1837653,adherence to routine,1,1
153,C1837653,difficulty with changes in routine,1,1
154,C0424247,Hand flapping,1,1
155,C0392185,Repetitive speech,1,1
156,C0392185,Repetitive Speech,1,1
157,C0349331,other Pervasive Developmental Disorders,1,1
158,C1846135,Autistic features,1,1
159,C1853236,Head shaking,1,1
160,C0349331,Other Pervasive Developmental Disorders,1,1
161,C0746940,no words,1,1
